foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,cleaned_foreign
Shabir Fahim Detergent Production Co.,Afghanistan,2020.0,Afghanistan,AFG,Shabir Fahim Detergent Production Co,AFG_113,Shabir Fahim Detergent Production Co
Mashahir Shargh International Transport Bandar,Afghanistan,2019.0,Afghanistan,AFG,Mashahir Shargh International Transport Bandar,AFG_114,Mashahir Shargh International Transport Bandar
Waqas Samandr Int Trabsit Forwarding,Afghanistan,2020.0,Afghanistan,AFG,Waqas Samandr Int Trabsit Forwarding,AFG_115,Waqas Samandr Int Trabsit Forwarding
Baset Shahab Kandahar Afghanistan,Afghanistan,2020.0,Afghanistan,AFG,Baset Shahab Kandahar Afghanistan,AFG_116,Baset Shahab Kandahar Afghanistan
Amanullah Mano Mutaza Trading Llc,Afghanistan,2020.0,Afghanistan,AFG,Amanullah Mano Mutaza Trading,AFG_117,Amanullah Mano Mutaza Trading
Hobab Washing Material Production Co.,Afghanistan,2019.0,Afghanistan,AFG,Hobab Washing Material Production Co,AFG_118,Hobab Washing Material Production Co
Hobab Washing Material Production,Afghanistan,2020.0,Afghanistan,AFG,Hobab Washing Material Production Co,AFG_118,Hobab Washing Material Production
Muskin Yar Market 4 Th Fl Office 164171,Afghanistan,2020.0,Afghanistan,AFG,Muskin Yar Market 4 Th Fl Office 164171,AFG_119,Muskin Yar Market 4 Th Fl Office 164171
Undp Afghanistan,Afghanistan,2020.0,Afghanistan,AFG,Undp Afghanistan,AFG_12,Undp Afghanistan
Arif Khan Co.,Afghanistan,2020.0,Afghanistan,AFG,Arif Khan Co,AFG_120,Arif Khan Co
Mohammad Dawood S/O Toor,Afghanistan,2019.0,Afghanistan,AFG,Mohammad Dawood SO Toor,AFG_121,Mohammad Dawood SO Toor
Khalid Hassib Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Khalid Hassib,AFG_122,Khalid Hassib
Hazrat Ali Hazrat Bilal Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Hazrat Ali Hazrat Bilal,AFG_123,Hazrat Ali Hazrat Bilal
Azar Kian Toos International Transportation,Afghanistan,2020.0,Afghanistan,AFG,Azar Kian Toos International Transportation,AFG_124,Azar Kian Toos International Transportation
Qari Faisal Arab,Afghanistan,2019.0,Afghanistan,AFG,Qari Faisal Arab,AFG_125,Qari Faisal Arab
Mahaz Afghan Zone No 2,Afghanistan,2019.0,Afghanistan,AFG,Mahaz Afghan Zone No 2,AFG_126,Mahaz Afghan Zone No 2
Hayatullah Qudrat Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Hayatullah Qudrat,AFG_127,Hayatullah Qudrat
Golzar 10 The Ending,Afghanistan,2019.0,Afghanistan,AFG,Golzar 10 The Ending,AFG_128,Golzar 10 The Ending
Ilham Usman Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Ilham Usman,AFG_129,Ilham Usman
Salim Rashed Kabul Afghanistan,Afghanistan,2020.0,Afghanistan,AFG,Salim Rashed Kabul Afghanistan,AFG_13,Salim Rashed Kabul Afghanistan
Salim Rashed Kabul Afghanistan,Afghanistan,2019.0,Afghanistan,AFG,Salim Rashed Kabul Afghanistan,AFG_13,Salim Rashed Kabul Afghanistan
Azin Masir Mehr Iranian,Afghanistan,2019.0,Afghanistan,AFG,Azin Masir Mehr Iranian,AFG_130,Azin Masir Mehr Iranian
Azin Masir Mehr Iranian,Afghanistan,2020.0,Afghanistan,AFG,Azin Masir Mehr Iranian,AFG_130,Azin Masir Mehr Iranian
Gulzada Brothers,Afghanistan,2020.0,Afghanistan,AFG,Gulzada Brothers,AFG_131,Gulzada Brothers
Hamza Wali Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Hamza Wali,AFG_132,Hamza Wali
Itehad Afghan,Afghanistan,2020.0,Afghanistan,AFG,Itehad Afghan,AFG_133,Itehad Afghan
Jamal Trading,Afghanistan,2020.0,Afghanistan,AFG,Jamal Trading,AFG_134,Jamal Trading
Rahimjamalzai,Afghanistan,2019.0,Afghanistan,AFG,Rahimjamalzai,AFG_135,Rahimjamalzai
Syed Wali Ali Zadah Soap Packing Super,Afghanistan,2020.0,Afghanistan,AFG,Syed Wali Ali Zadah Soap Packing Super,AFG_136,Syed Wali Ali Zadah Soap Packing Super
Afghanistan Red Gold Saffron,Afghanistan,2020.0,Afghanistan,AFG,Afghanistan Red Gold Saffron,AFG_137,Afghanistan Red Gold Saffron
Afghanistan Red Gold Saffron,Afghanistan,2019.0,Afghanistan,AFG,Afghanistan Red Gold Saffron,AFG_137,Afghanistan Red Gold Saffron
Rumi,Afghanistan,2020.0,Afghanistan,AFG,Rumi,AFG_138,Rumi
Afghanistan Redgold Saffron Co.,Afghanistan,2020.0,Afghanistan,AFG,Afghanistan Redgold Saffron Co,AFG_139,Afghanistan Redgold Saffron Co
Ahmadi Al Khair,Afghanistan,2020.0,Afghanistan,AFG,Ahmadi Al Khair,AFG_14,Ahmadi Al Khair
Ahmadi Al Khair,Afghanistan,2019.0,Afghanistan,AFG,Ahmadi Al Khair,AFG_14,Ahmadi Al Khair
Afghanistan Red Gold Saffron Co. Arg,Afghanistan,2020.0,Afghanistan,AFG,Afghanistan Red Gold Saffron Co Arg,AFG_140,Afghanistan Red Gold Saffron Co Arg
Avnet Asia Pte,Afghanistan,2019.0,Afghanistan,AFG,Avnet Asia Pte,AFG_141,Avnet Asia Pte
Rayan Herat Saffron Co.,Afghanistan,2020.0,Afghanistan,AFG,Rayan Herat Saffron Co,AFG_142,Rayan Herat Saffron Co
Sigmaaldrich Pte,Afghanistan,2019.0,Afghanistan,AFG,Sigmaaldrich Pte,AFG_143,Sigmaaldrich Pte
Anar Bagh,Afghanistan,2020.0,Afghanistan,AFG,Anar Bagh,AFG_15,Anar Bagh
